time,ACT.GSE_High_Press_Vent.actuator_state
2026-03-06 21:21:30.494024,1
2026-03-06 21:21:30.537172,0
2026-03-06 21:21:30.596219,1
2026-03-06 21:21:30.638968,0
2026-03-06 21:21:30.697878,1
2026-03-06 21:21:30.741023,0
2026-03-06 21:21:30.799989,1
2026-03-06 21:21:30.843148,0
2026-03-06 21:21:30.901944,1
2026-03-06 21:21:30.945246,0
2026-03-06 21:21:31.004175,1
2026-03-06 21:21:31.046975,0
2026-03-06 21:21:31.106013,1
2026-03-06 21:21:31.149136,0
2026-03-06 21:21:31.208464,1
2026-03-06 21:21:31.250941,0
2026-03-06 21:21:31.310251,1
2026-03-06 21:21:31.352956,0
2026-03-06 21:21:31.412502,1
2026-03-06 21:21:31.455343,0
2026-03-06 21:21:31.514208,1
2026-03-06 21:21:31.557226,0
2026-03-06 21:21:31.616417,1
2026-03-06 21:21:31.659531,0
2026-03-06 21:21:31.718666,1
2026-03-06 21:21:31.760984,0
2026-03-06 21:21:31.820025,1
2026-03-06 21:21:31.862848,0
2026-03-06 21:21:31.922597,1
2026-03-06 21:21:31.96515,0
2026-03-06 21:21:32.023977,1
2026-03-06 21:21:32.06761,0
2026-03-06 21:21:32.126561,1
2026-03-06 21:21:32.169298,0
2026-03-06 21:21:32.228191,1
2026-03-06 21:21:32.271503,0
2026-03-06 21:21:32.330503,1
2026-03-06 21:21:32.372862,0
2026-03-06 21:21:32.432351,1
2026-03-06 21:21:32.475361,0
2026-03-06 21:21:32.534191,1
2026-03-06 21:21:32.577165,0
2026-03-06 21:21:32.636075,1
2026-03-06 21:21:32.679447,0
2026-03-06 21:21:32.738368,1
2026-03-06 21:21:32.781372,0
2026-03-06 21:21:32.840083,1
2026-03-06 21:21:32.883279,0
2026-03-06 21:21:32.942437,1
2026-03-06 21:21:32.985143,0
2026-03-06 21:21:33.044149,1
2026-03-06 21:21:33.087102,0
2026-03-06 21:21:33.146196,1
2026-03-06 21:21:33.189007,0
2026-03-06 21:21:33.248015,1
2026-03-06 21:21:33.291019,0
2026-03-06 21:21:33.350384,1
2026-03-06 21:21:33.392992,0
2026-03-06 21:21:33.452166,1
2026-03-06 21:21:33.495204,0
2026-03-06 21:21:33.554448,1
2026-03-06 21:21:33.597322,0
2026-03-06 21:21:33.656343,1
2026-03-06 21:21:33.698962,0
2026-03-06 21:21:33.75838,1
2026-03-06 21:21:33.801312,0
2026-03-06 21:21:33.860262,1
2026-03-06 21:21:33.903197,0
2026-03-06 21:21:33.962497,1
2026-03-06 21:21:34.005182,0
2026-03-06 21:21:34.064313,1
2026-03-06 21:21:34.107111,0
2026-03-06 21:21:34.166547,1
2026-03-06 21:21:34.209288,0
2026-03-06 21:21:34.26834,1
2026-03-06 21:21:34.310925,0
2026-03-06 21:21:34.370053,1
2026-03-06 21:21:34.413276,0
2026-03-06 21:21:34.472122,1
2026-03-06 21:21:34.515419,0
2026-03-06 21:21:34.574221,1
2026-03-06 21:21:34.616834,0
2026-03-06 21:21:34.676424,1
2026-03-06 21:21:34.7191,0
2026-03-06 21:21:34.778394,1
2026-03-06 21:21:34.821101,0
2026-03-06 21:21:34.879927,1
2026-03-06 21:21:34.922719,0
2026-03-06 21:21:34.982512,1
2026-03-06 21:21:35.02507,0
2026-03-06 21:21:35.08436,1
2026-03-06 21:21:35.127293,0
2026-03-06 21:21:35.186534,1
2026-03-06 21:21:35.229428,0
2026-03-06 21:21:35.288358,1
2026-03-06 21:21:35.331122,0
2026-03-06 21:21:35.390039,1
2026-03-06 21:21:35.433248,0
2026-03-06 21:21:35.492198,1
2026-03-06 21:21:35.5352,0
2026-03-06 21:21:35.594581,1
2026-03-06 21:21:35.637282,0
2026-03-06 21:21:35.69642,1
2026-03-06 21:21:35.739237,0
2026-03-06 21:21:35.798563,1
2026-03-06 21:21:35.841322,0
2026-03-06 21:21:35.900363,1
2026-03-06 21:21:35.94314,0
2026-03-06 21:21:36.002173,1
2026-03-06 21:21:36.045076,0
2026-03-06 21:21:36.104476,1
2026-03-06 21:21:36.147185,0
2026-03-06 21:21:36.206051,1
2026-03-06 21:21:36.248965,0
2026-03-06 21:21:36.30821,1
2026-03-06 21:21:36.350831,0
2026-03-06 21:21:36.410552,1
2026-03-06 21:21:36.452885,0
2026-03-06 21:21:36.51222,1
2026-03-06 21:21:36.554916,0
2026-03-06 21:21:36.614557,1
2026-03-06 21:21:36.6569,0
2026-03-06 21:21:36.71615,1
2026-03-06 21:21:36.759421,0
2026-03-06 21:21:36.818282,1
2026-03-06 21:21:36.861222,0
2026-03-06 21:21:36.920261,1
2026-03-06 21:21:36.962866,0
2026-03-06 21:21:37.023104,1
2026-03-06 21:21:37.064952,0
2026-03-06 21:21:37.124088,1
2026-03-06 21:21:37.167468,0
2026-03-06 21:21:37.226773,1
2026-03-06 21:21:37.269293,0
2026-03-06 21:21:37.328566,1
2026-03-06 21:21:37.371285,0
2026-03-06 21:21:37.43,1
2026-03-06 21:21:37.47301,0
2026-03-06 21:21:37.532319,1
2026-03-06 21:21:37.575248,0
2026-03-06 21:21:37.634188,1
2026-03-06 21:21:37.676952,0
2026-03-06 21:21:37.736408,1
2026-03-06 21:21:37.779127,0
2026-03-06 21:21:37.838472,1
2026-03-06 21:21:37.881431,0
