time,ACT.GSE_High_Press_Control.timestamp_ns
2026-03-06 21:17:02.129464,1772831822129233344
2026-03-06 21:17:02.173805,1772831822173557076
2026-03-06 21:17:02.173833,1772831822173557076
2026-03-06 21:17:02.23142,1772831822231183731
2026-03-06 21:17:02.231456,1772831822231183731
2026-03-06 21:17:02.275691,1772831822275438839
2026-03-06 21:17:02.27573,1772831822275438839
2026-03-06 21:17:02.333381,1772831822333151397
2026-03-06 21:17:02.333406,1772831822333151397
2026-03-06 21:17:02.377774,1772831822377505415
2026-03-06 21:17:02.377804,1772831822377505415
2026-03-06 21:17:02.435846,1772831822435573237
2026-03-06 21:17:02.435874,1772831822435573237
2026-03-06 21:17:02.479509,1772831822479227682
2026-03-06 21:17:02.479534,1772831822479227682
2026-03-06 21:17:02.537446,1772831822537253776
2026-03-06 21:17:02.537462,1772831822537253776
2026-03-06 21:17:02.581665,1772831822581424920
2026-03-06 21:17:02.581692,1772831822581424920
2026-03-06 21:17:02.639698,1772831822639482639
2026-03-06 21:17:02.63972,1772831822639482639
2026-03-06 21:17:02.68382,1772831822683618364
2026-03-06 21:17:02.683843,1772831822683618364
2026-03-06 21:17:02.741343,1772831822741081937
2026-03-06 21:17:02.741369,1772831822741081937
2026-03-06 21:17:02.785906,1772831822785667909
2026-03-06 21:17:02.785933,1772831822785667909
2026-03-06 21:17:02.843354,1772831822843099946
2026-03-06 21:17:02.843377,1772831822843099946
2026-03-06 21:17:02.887633,1772831822887439182
2026-03-06 21:17:02.887652,1772831822887439182
2026-03-06 21:17:02.9453,1772831822945143632
2026-03-06 21:17:02.945318,1772831822945143632
2026-03-06 21:17:02.989588,1772831822989306956
2026-03-06 21:17:02.989604,1772831822989306956
2026-03-06 21:17:03.047398,1772831823047153387
2026-03-06 21:17:03.047431,1772831823047153387
2026-03-06 21:17:03.091791,1772831823091538219
2026-03-06 21:17:03.09181,1772831823091538219
2026-03-06 21:17:03.149776,1772831823149625001
2026-03-06 21:17:03.149798,1772831823149625001
2026-03-06 21:17:03.193933,1772831823193648942
2026-03-06 21:17:03.193961,1772831823193648942
2026-03-06 21:17:03.251324,1772831823251121684
2026-03-06 21:17:03.251352,1772831823251121684
2026-03-06 21:17:03.295815,1772831823295558838
2026-03-06 21:17:03.295834,1772831823295558838
2026-03-06 21:17:03.354036,1772831823353652482
2026-03-06 21:17:03.354067,1772831823353652482
2026-03-06 21:17:03.397547,1772831823397260064
2026-03-06 21:17:03.397586,1772831823397260064
2026-03-06 21:17:03.455688,1772831823455499350
2026-03-06 21:17:03.455706,1772831823455499350
2026-03-06 21:17:03.499821,1772831823499321750
2026-03-06 21:17:03.499848,1772831823499321750
2026-03-06 21:17:03.557659,1772831823557398933
2026-03-06 21:17:03.55769,1772831823557398933
2026-03-06 21:17:03.601326,1772831823601239403
2026-03-06 21:17:03.601354,1772831823601239403
2026-03-06 21:17:03.659828,1772831823659618045
2026-03-06 21:17:03.659845,1772831823659618045
2026-03-06 21:17:03.703259,1772831823703079523
2026-03-06 21:17:03.703281,1772831823703079523
2026-03-06 21:17:03.761776,1772831823761516484
2026-03-06 21:17:03.761806,1772831823761516484
2026-03-06 21:17:03.805833,1772831823805646172
2026-03-06 21:17:03.805855,1772831823805646172
2026-03-06 21:17:03.863874,1772831823863628513
2026-03-06 21:17:03.863905,1772831823863628513
2026-03-06 21:17:03.907875,1772831823907612260
2026-03-06 21:17:03.907904,1772831823907612260
2026-03-06 21:17:03.965886,1772831823965532764
2026-03-06 21:17:03.96592,1772831823965532764
2026-03-06 21:17:04.009525,1772831824009332469
2026-03-06 21:17:04.009551,1772831824009332469
2026-03-06 21:17:04.067833,1772831824067498740
2026-03-06 21:17:04.06787,1772831824067498740
2026-03-06 21:17:04.111433,1772831824111239202
2026-03-06 21:17:04.111456,1772831824111239202
2026-03-06 21:17:04.169541,1772831824169241934
2026-03-06 21:17:04.16957,1772831824169241934
2026-03-06 21:17:04.213559,1772831824213267791
2026-03-06 21:17:04.213593,1772831824213267791
2026-03-06 21:17:04.271628,1772831824271322522
2026-03-06 21:17:04.271658,1772831824271322522
2026-03-06 21:17:04.315675,1772831824315518696
2026-03-06 21:17:04.315691,1772831824315518696
2026-03-06 21:17:04.37337,1772831824373129432
2026-03-06 21:17:04.373384,1772831824373129432
2026-03-06 21:17:04.417669,1772831824417513090
2026-03-06 21:17:04.417681,1772831824417513090
2026-03-06 21:17:04.475735,1772831824475501963
2026-03-06 21:17:04.475755,1772831824475501963
2026-03-06 21:17:04.519609,1772831824519454644
2026-03-06 21:17:04.519623,1772831824519454644
2026-03-06 21:17:04.577675,1772831824577417817
2026-03-06 21:17:04.57769,1772831824577417817
