time,PT_Cal.GSE_High.cal_status
2026-03-06 21:15:31.955526,1
2026-03-06 21:15:31.955647,1
2026-03-06 21:15:31.955803,1
2026-03-06 21:15:31.955954,1
2026-03-06 21:15:31.957044,0
2026-03-06 21:15:32.055572,1
2026-03-06 21:15:32.055629,1
2026-03-06 21:15:32.055655,1
2026-03-06 21:15:32.055958,1
2026-03-06 21:15:32.056015,1
2026-03-06 21:15:32.056061,1
2026-03-06 21:15:32.056099,1
2026-03-06 21:15:32.056146,1
2026-03-06 21:15:32.056203,1
2026-03-06 21:15:32.155451,1
2026-03-06 21:15:32.155483,1
2026-03-06 21:15:32.155501,1
2026-03-06 21:15:32.155519,1
2026-03-06 21:15:32.155535,1
2026-03-06 21:15:32.155554,1
2026-03-06 21:15:32.155587,1
2026-03-06 21:15:32.155611,1
2026-03-06 21:15:32.155632,1
2026-03-06 21:15:32.15578,0
2026-03-06 21:15:32.259051,1
2026-03-06 21:15:32.259118,1
2026-03-06 21:15:32.259146,1
2026-03-06 21:15:32.259205,1
2026-03-06 21:15:32.259205,0
2026-03-06 21:15:32.259251,1
2026-03-06 21:15:32.25929,1
2026-03-06 21:15:32.359413,1
2026-03-06 21:15:32.359514,1
2026-03-06 21:15:32.359578,1
2026-03-06 21:15:32.35966,1
2026-03-06 21:15:32.359736,1
2026-03-06 21:15:32.359828,1
2026-03-06 21:15:32.359907,1
2026-03-06 21:15:32.359982,1
2026-03-06 21:15:32.360083,1
2026-03-06 21:15:32.360254,0
2026-03-06 21:15:32.459316,1
2026-03-06 21:15:32.459371,1
2026-03-06 21:15:32.459389,1
2026-03-06 21:15:32.459445,1
2026-03-06 21:15:32.459496,1
2026-03-06 21:15:32.459548,1
2026-03-06 21:15:32.459608,1
2026-03-06 21:15:32.459667,1
2026-03-06 21:15:32.459733,1
2026-03-06 21:15:32.460405,0
2026-03-06 21:15:32.559324,1
2026-03-06 21:15:32.559573,1
2026-03-06 21:15:32.559841,1
2026-03-06 21:15:32.560094,1
2026-03-06 21:15:32.560311,1
2026-03-06 21:15:32.560414,1
2026-03-06 21:15:32.560425,0
2026-03-06 21:15:32.659298,1
2026-03-06 21:15:32.659397,1
2026-03-06 21:15:32.659437,1
2026-03-06 21:15:32.659446,1
2026-03-06 21:15:32.659457,1
2026-03-06 21:15:32.659471,1
2026-03-06 21:15:32.659476,1
2026-03-06 21:15:32.659488,1
2026-03-06 21:15:32.65952,1
2026-03-06 21:15:32.759067,1
2026-03-06 21:15:32.759311,1
2026-03-06 21:15:32.759541,0
2026-03-06 21:15:32.760011,1
2026-03-06 21:15:32.760517,1
2026-03-06 21:15:32.76079,1
2026-03-06 21:15:32.761005,1
2026-03-06 21:15:32.761424,1
2026-03-06 21:15:32.761606,1
2026-03-06 21:15:32.761855,1
2026-03-06 21:15:32.859562,1
2026-03-06 21:15:32.859652,1
2026-03-06 21:15:32.859725,1
2026-03-06 21:15:32.8598,1
2026-03-06 21:15:32.859893,1
2026-03-06 21:15:32.860031,1
2026-03-06 21:15:32.860208,1
2026-03-06 21:15:32.860527,0
2026-03-06 21:15:32.960525,1
2026-03-06 21:15:32.960581,1
2026-03-06 21:15:32.960611,1
2026-03-06 21:15:32.960635,1
2026-03-06 21:15:32.960662,1
2026-03-06 21:15:32.960693,1
2026-03-06 21:15:32.960715,1
2026-03-06 21:15:32.960725,0
2026-03-06 21:15:32.960747,1
2026-03-06 21:15:32.960768,1
2026-03-06 21:15:33.06073,1
2026-03-06 21:15:33.060823,1
2026-03-06 21:15:33.060857,1
2026-03-06 21:15:33.06097,1
2026-03-06 21:15:33.061129,1
2026-03-06 21:15:33.061237,0
2026-03-06 21:15:33.061282,1
2026-03-06 21:15:33.160267,1
2026-03-06 21:15:33.160341,1
2026-03-06 21:15:33.16038,1
2026-03-06 21:15:33.16044,1
2026-03-06 21:15:33.160502,1
2026-03-06 21:15:33.160569,1
2026-03-06 21:15:33.160649,1
2026-03-06 21:15:33.16127,0
2026-03-06 21:15:33.264103,1
2026-03-06 21:15:33.264208,1
2026-03-06 21:15:33.264262,1
2026-03-06 21:15:33.264353,1
2026-03-06 21:15:33.264439,0
2026-03-06 21:15:33.264531,1
2026-03-06 21:15:33.264866,1
2026-03-06 21:15:33.265006,1
2026-03-06 21:15:33.364591,1
2026-03-06 21:15:33.364686,1
2026-03-06 21:15:33.364747,1
2026-03-06 21:15:33.364833,1
2026-03-06 21:15:33.364915,1
2026-03-06 21:15:33.364991,1
2026-03-06 21:15:33.365096,1
2026-03-06 21:15:33.365455,0
2026-03-06 21:15:33.464697,1
2026-03-06 21:15:33.464797,1
2026-03-06 21:15:33.464824,1
2026-03-06 21:15:33.464897,1
2026-03-06 21:15:33.464974,1
2026-03-06 21:15:33.465051,1
2026-03-06 21:15:33.46514,1
2026-03-06 21:15:33.465222,0
2026-03-06 21:15:33.465286,1
2026-03-06 21:15:33.564289,1
2026-03-06 21:15:33.564351,1
2026-03-06 21:15:33.564375,1
2026-03-06 21:15:33.56441,1
2026-03-06 21:15:33.564434,1
