time,PT_Cal.Fuel_Downstream.raw_adc
2026-03-06 21:19:01.845022,229594960
2026-03-06 21:19:01.953028,229611142
2026-03-06 21:19:01.953174,229416962
2026-03-06 21:19:01.953459,229641483
2026-03-06 21:19:01.953527,229801278
2026-03-06 21:19:01.953571,229611142
2026-03-06 21:19:02.062328,227335587
2026-03-06 21:19:02.062544,229681938
2026-03-06 21:19:02.062749,229805323
2026-03-06 21:19:02.062882,227335587
2026-03-06 21:19:02.062984,229584847
2026-03-06 21:19:02.063308,229953656
2026-03-06 21:19:02.063767,229070403
2026-03-06 21:19:02.17083,229863982
2026-03-06 21:19:02.171033,229578779
2026-03-06 21:19:02.171186,229671823
2026-03-06 21:19:02.171294,229863982
2026-03-06 21:19:02.171362,229508658
2026-03-06 21:19:02.280615,229612491
2026-03-06 21:19:02.28087,229681263
2026-03-06 21:19:02.281177,229659013
2026-03-06 21:19:02.281489,230269873
2026-03-06 21:19:02.281848,229665081
2026-03-06 21:19:02.282057,228688110
2026-03-06 21:19:02.28252,229612491
2026-03-06 21:19:02.389075,229641483
2026-03-06 21:19:02.389223,229670475
2026-03-06 21:19:02.389279,229638786
2026-03-06 21:19:02.38945,229696770
2026-03-06 21:19:02.389655,230223351
2026-03-06 21:19:02.389821,229641483
2026-03-06 21:19:02.497831,230118170
2026-03-06 21:19:02.498027,229743294
2026-03-06 21:19:02.49812,229696770
2026-03-06 21:19:02.49831,230078389
2026-03-06 21:19:02.498473,230207844
2026-03-06 21:19:02.498642,229603725
2026-03-06 21:19:02.498672,230118170
2026-03-06 21:19:02.607092,229768914
2026-03-06 21:19:02.607197,229552483
2026-03-06 21:19:02.607268,229470901
2026-03-06 21:19:02.60744,229555855
2026-03-06 21:19:02.607481,229768914
2026-03-06 21:19:02.607556,229684635
2026-03-06 21:19:02.607754,229742619
2026-03-06 21:19:02.607899,229111531
2026-03-06 21:19:02.608068,229171539
2026-03-06 21:19:02.608272,229619232
2026-03-06 21:19:02.716013,229692051
2026-03-06 21:19:02.716167,229609119
2026-03-06 21:19:02.716205,229675195
2026-03-06 21:19:02.716286,229879489
2026-03-06 21:19:02.716372,229665081
2026-03-06 21:19:02.716548,230084458
2026-03-06 21:19:02.716578,229692051
2026-03-06 21:19:02.824871,229512029
2026-03-06 21:19:02.824954,229728460
2026-03-06 21:19:02.824973,230238184
2026-03-06 21:19:02.825023,230149859
2026-03-06 21:19:02.82515,229612491
2026-03-06 21:19:02.825264,230171434
2026-03-06 21:19:02.825336,229512029
2026-03-06 21:19:02.933318,230250995
2026-03-06 21:19:02.933403,230052769
2026-03-06 21:19:02.933626,229658339
2026-03-06 21:19:02.933691,230250995
2026-03-06 21:19:02.933942,229702165
2026-03-06 21:19:02.934008,229116925
2026-03-06 21:19:02.934118,229949610
2026-03-06 21:19:02.93427,229619232
2026-03-06 21:19:02.934345,229572037
2026-03-06 21:19:03.043018,229618559
2026-03-06 21:19:03.043153,229774308
2026-03-06 21:19:03.043342,229615187
2026-03-06 21:19:03.043374,229618559
2026-03-06 21:19:03.043499,229524166
2026-03-06 21:19:03.151752,229638112
2026-03-06 21:19:03.151907,229480340
2026-03-06 21:19:03.152116,230261783
2026-03-06 21:19:03.152251,229638112
2026-03-06 21:19:03.152292,230284707
2026-03-06 21:19:03.261067,230060186
2026-03-06 21:19:03.261191,230305609
2026-03-06 21:19:03.261334,230199079
2026-03-06 21:19:03.261482,230147837
2026-03-06 21:19:03.26175,230060186
2026-03-06 21:19:03.370193,230385168
2026-03-06 21:19:03.3705,230371009
2026-03-06 21:19:03.370615,230385168
2026-03-06 21:19:03.370626,230081086
2026-03-06 21:19:03.478836,229509333
2026-03-06 21:19:03.478996,230257063
2026-03-06 21:19:03.479115,229509333
2026-03-06 21:19:03.479169,230172784
2026-03-06 21:19:03.47938,230223351
2026-03-06 21:19:03.588123,230321116
2026-03-06 21:19:03.588278,230056139
2026-03-06 21:19:03.588407,229724414
2026-03-06 21:19:03.588486,230321116
2026-03-06 21:19:03.588561,230094571
2026-03-06 21:19:03.696939,230077041
2026-03-06 21:19:03.697047,230052769
2026-03-06 21:19:03.697274,230155927
2026-03-06 21:19:03.697432,230077041
2026-03-06 21:19:03.697502,230242230
2026-03-06 21:19:03.697764,229650248
2026-03-06 21:19:03.806339,230366289
2026-03-06 21:19:03.806445,230120867
2026-03-06 21:19:03.806551,230387191
2026-03-06 21:19:03.806666,230289427
2026-03-06 21:19:03.806778,230388540
2026-03-06 21:19:03.806876,230366289
2026-03-06 21:19:03.806904,230209192
2026-03-06 21:19:03.915005,229552483
2026-03-06 21:19:03.915085,229615187
2026-03-06 21:19:03.915128,229600354
2026-03-06 21:19:03.915263,229586195
2026-03-06 21:19:03.915387,229727785
2026-03-06 21:19:03.915557,229552483
2026-03-06 21:19:03.91558,229782399
2026-03-06 21:19:03.915821,229594287
2026-03-06 21:19:04.024026,229644854
2026-03-06 21:19:04.024152,230295495
2026-03-06 21:19:04.024428,229644854
2026-03-06 21:19:04.024582,230307630
2026-03-06 21:19:04.025085,230295495
2026-03-06 21:19:04.025797,229460112
2026-03-06 21:19:04.133261,229625301
2026-03-06 21:19:04.13336,229563272
2026-03-06 21:19:04.133483,229499219
2026-03-06 21:19:04.133684,229625301
2026-03-06 21:19:04.133856,229642831
2026-03-06 21:19:04.134259,229470901
2026-03-06 21:19:04.241714,229671823
2026-03-06 21:19:04.241785,230015012
2026-03-06 21:19:04.24185,229678566
2026-03-06 21:19:04.241909,230255715
2026-03-06 21:19:04.241961,229652944
2026-03-06 21:19:04.242063,229671823
2026-03-06 21:19:04.351213,229719695
2026-03-06 21:19:04.351418,229555855
2026-03-06 21:19:04.35166,230183571
