time,ACT.GN2_Vent.sample_ts_ms
2026-03-06 21:19:48.493388,11209934
2026-03-06 21:19:48.536312,11210016
2026-03-06 21:19:48.595495,11210036
2026-03-06 21:19:48.63849,11210118
2026-03-06 21:19:48.697484,11210138
2026-03-06 21:19:48.740534,11210220
2026-03-06 21:19:48.799394,11210240
2026-03-06 21:19:48.84286,11210322
2026-03-06 21:19:48.901644,11210342
2026-03-06 21:19:48.944689,11210424
2026-03-06 21:19:49.00345,11210444
2026-03-06 21:19:49.046437,11210526
2026-03-06 21:19:49.105147,11210546
2026-03-06 21:19:49.148926,11210628
2026-03-06 21:19:49.207152,11210648
2026-03-06 21:19:49.250801,11210730
2026-03-06 21:19:49.309054,11210750
2026-03-06 21:19:49.352657,11210832
2026-03-06 21:19:49.411338,11210852
2026-03-06 21:19:49.454367,11210934
2026-03-06 21:19:49.513217,11210954
2026-03-06 21:19:49.556899,11211036
2026-03-06 21:19:49.615205,11211056
2026-03-06 21:19:49.658757,11211138
2026-03-06 21:19:49.717364,11211158
2026-03-06 21:19:49.760579,11211240
2026-03-06 21:19:49.819431,11211260
2026-03-06 21:19:49.862631,11211342
2026-03-06 21:19:49.921107,11211362
2026-03-06 21:19:49.964904,11211444
2026-03-06 21:19:50.022981,11211464
2026-03-06 21:19:50.067075,11211546
2026-03-06 21:19:50.12547,11211566
2026-03-06 21:19:50.168832,11211648
2026-03-06 21:19:50.227513,11211668
2026-03-06 21:19:50.270629,11211750
2026-03-06 21:19:50.329392,11211770
2026-03-06 21:19:50.373018,11211852
2026-03-06 21:19:50.431341,11211872
2026-03-06 21:19:50.474361,11211954
2026-03-06 21:19:50.533125,11211974
2026-03-06 21:19:50.576314,11212056
2026-03-06 21:19:50.63514,11212076
2026-03-06 21:19:50.678514,11212158
2026-03-06 21:19:50.737166,11212178
2026-03-06 21:19:50.780813,11212260
2026-03-06 21:19:50.839332,11212280
2026-03-06 21:19:50.882834,11212362
2026-03-06 21:19:50.941535,11212382
2026-03-06 21:19:50.984813,11212464
