time,PT_Cal.Ox_Upstream.raw_adc
2026-03-06 21:26:17.957654,220467118
2026-03-06 21:26:17.95802,220378118
2026-03-06 21:26:17.958634,220410481
2026-03-06 21:26:17.958799,220671412
2026-03-06 21:26:17.958883,220467118
2026-03-06 21:26:17.959069,220687594
2026-03-06 21:26:18.06721,220617473
2026-03-06 21:26:18.067314,220467791
2026-03-06 21:26:18.067394,221200688
2026-03-06 21:26:18.067532,220672085
2026-03-06 21:26:18.067619,220431382
2026-03-06 21:26:18.067715,220995721
2026-03-06 21:26:18.067749,220617473
2026-03-06 21:26:18.175925,220527125
2026-03-06 21:26:18.175981,220656578
2026-03-06 21:26:18.176013,220516337
2026-03-06 21:26:18.176491,220527125
2026-03-06 21:26:18.284462,220244618
2026-03-06 21:26:18.284528,218225273
2026-03-06 21:26:18.284643,220779965
2026-03-06 21:26:18.284968,220244618
2026-03-06 21:26:18.39342,219924355
2026-03-06 21:26:18.393578,220434754
2026-03-06 21:26:18.393803,220618146
2026-03-06 21:26:18.393977,220575669
2026-03-06 21:26:18.394438,219924355
2026-03-06 21:26:18.502643,220678154
2026-03-06 21:26:18.502754,220605336
2026-03-06 21:26:18.502948,220288444
2026-03-06 21:26:18.503031,220678154
2026-03-06 21:26:18.503103,220699055
2026-03-06 21:26:18.503286,220485321
2026-03-06 21:26:18.50345,220615450
2026-03-06 21:26:18.50364,220436102
2026-03-06 21:26:18.503959,220494761
2026-03-06 21:26:18.611959,220550722
2026-03-06 21:26:18.612025,219718712
2026-03-06 21:26:18.612138,219872439
2026-03-06 21:26:18.612173,220550722
2026-03-06 21:26:18.612344,220590503
2026-03-06 21:26:18.612537,220579041
2026-03-06 21:26:18.612639,220485996
2026-03-06 21:26:18.612884,220210233
2026-03-06 21:26:18.721196,220428686
2026-03-06 21:26:18.721355,220221020
2026-03-06 21:26:18.721514,220428011
2026-03-06 21:26:18.721685,220479928
2026-03-06 21:26:18.72174,220428686
2026-03-06 21:26:18.721859,220571624
2026-03-06 21:26:18.722049,220483299
2026-03-06 21:26:18.829601,220571624
2026-03-06 21:26:18.829641,220679502
2026-03-06 21:26:18.829658,220454981
2026-03-06 21:26:18.82972,220057854
2026-03-06 21:26:18.829799,220552745
2026-03-06 21:26:18.829951,220446216
2026-03-06 21:26:18.830468,220571624
2026-03-06 21:26:18.938571,219997847
2026-03-06 21:26:18.938693,220626238
2026-03-06 21:26:18.938797,219997847
2026-03-06 21:26:18.938936,220469814
2026-03-06 21:26:19.04796,220623541
2026-03-06 21:26:19.048012,219919635
2026-03-06 21:26:19.048102,220060551
2026-03-06 21:26:19.048182,220623541
2026-03-06 21:26:19.048435,219817152
2026-03-06 21:26:19.048504,220022794
2026-03-06 21:26:19.048579,220007286
2026-03-06 21:26:19.048653,219999870
2026-03-06 21:26:19.048718,220059203
2026-03-06 21:26:19.156819,220009984
2026-03-06 21:26:19.156874,220138089
2026-03-06 21:26:19.15693,219838052
2026-03-06 21:26:19.157002,220132695
2026-03-06 21:26:19.157076,219865696
2026-03-06 21:26:19.157162,220597919
2026-03-06 21:26:19.157257,220009984
2026-03-06 21:26:19.265846,220607359
2026-03-06 21:26:19.265967,220548700
2026-03-06 21:26:19.2661,219887946
2026-03-06 21:26:19.266269,220607359
2026-03-06 21:26:19.266346,219998521
2026-03-06 21:26:19.374984,219961438
2026-03-06 21:26:19.375099,220025491
2026-03-06 21:26:19.37513,219909521
2026-03-06 21:26:19.375156,220657927
2026-03-06 21:26:19.375749,219961438
2026-03-06 21:26:19.483775,220498132
2026-03-06 21:26:19.48388,220572299
2026-03-06 21:26:19.484031,219989082
2026-03-06 21:26:19.484197,219957393
2026-03-06 21:26:19.484412,220498132
2026-03-06 21:26:19.592509,219991105
2026-03-06 21:26:19.592587,220470488
2026-03-06 21:26:19.592648,219842098
2026-03-06 21:26:19.592802,219991105
2026-03-06 21:26:19.701681,220016051
2026-03-06 21:26:19.701728,220016051
2026-03-06 21:26:19.70175,219612183
2026-03-06 21:26:19.701814,219935817
2026-03-06 21:26:19.81058,219995824
2026-03-06 21:26:19.810772,219902779
2026-03-06 21:26:19.810818,220675457
2026-03-06 21:26:19.810862,220507572
2026-03-06 21:26:19.811018,219947953
2026-03-06 21:26:19.811179,219995824
2026-03-06 21:26:19.919741,219863674
2026-03-06 21:26:19.919812,220615450
2026-03-06 21:26:19.919904,219863674
2026-03-06 21:26:19.919955,219895363
2026-03-06 21:26:19.920145,219897386
2026-03-06 21:26:19.920252,219970877
2026-03-06 21:26:20.028442,219954695
2026-03-06 21:26:20.02859,219921658
2026-03-06 21:26:20.028747,219926378
2026-03-06 21:26:20.028911,219875809
