time,BOARD.HB_12.board_state
2026-03-06 21:21:05.106659,2
2026-03-06 21:21:06.116579,2
2026-03-06 21:21:07.124717,2
2026-03-06 21:21:08.12514,2
2026-03-06 21:21:09.125154,2
2026-03-06 21:21:10.125125,2
2026-03-06 21:21:11.125186,2
2026-03-06 21:21:12.13452,2
2026-03-06 21:21:13.143321,2
2026-03-06 21:21:14.143152,2
2026-03-06 21:21:15.142691,2
2026-03-06 21:21:16.143262,2
2026-03-06 21:21:17.143124,2
2026-03-06 21:21:18.152459,2
2026-03-06 21:21:19.160956,2
2026-03-06 21:21:20.16102,2
2026-03-06 21:21:21.160923,2
2026-03-06 21:21:22.161019,2
2026-03-06 21:21:23.161487,2
2026-03-06 21:21:24.170674,2
2026-03-06 21:21:25.179325,2
2026-03-06 21:21:26.178844,2
2026-03-06 21:21:27.179518,2
2026-03-06 21:21:28.17914,2
2026-03-06 21:21:29.179337,2
2026-03-06 21:21:30.189005,2
2026-03-06 21:21:31.196899,2
2026-03-06 21:21:32.197421,2
2026-03-06 21:21:33.197144,2
2026-03-06 21:21:34.197263,2
2026-03-06 21:21:35.197215,2
2026-03-06 21:21:36.206692,2
2026-03-06 21:21:37.215085,2
2026-03-06 21:21:38.215454,2
2026-03-06 21:21:39.215225,2
2026-03-06 21:21:40.215164,2
2026-03-06 21:21:41.215309,2
2026-03-06 21:21:42.224758,2
2026-03-06 21:21:43.233127,2
2026-03-06 21:21:44.233506,2
2026-03-06 21:21:45.233268,2
2026-03-06 21:21:46.233312,2
2026-03-06 21:21:47.233245,2
2026-03-06 21:21:48.243077,2
2026-03-06 21:21:49.251371,2
2026-03-06 21:21:50.251413,2
2026-03-06 21:21:51.25126,2
2026-03-06 21:21:52.251376,2
2026-03-06 21:21:53.251233,2
2026-03-06 21:21:54.261033,2
2026-03-06 21:21:55.269164,2
2026-03-06 21:21:56.26958,2
2026-03-06 21:21:57.269411,2
2026-03-06 21:21:58.269521,2
2026-03-06 21:21:59.269429,2
2026-03-06 21:22:00.279079,2
2026-03-06 21:22:01.287563,2
2026-03-06 21:22:02.287624,2
2026-03-06 21:22:03.287624,2
2026-03-06 21:22:04.287685,2
2026-03-06 21:22:05.287604,2
2026-03-06 21:22:06.297065,2
2026-03-06 21:22:07.305207,2
2026-03-06 21:22:08.305497,2
2026-03-06 21:22:09.305548,2
2026-03-06 21:22:10.30564,2
2026-03-06 21:22:11.305751,2
2026-03-06 21:22:12.314901,2
2026-03-06 21:22:13.323409,2
2026-03-06 21:22:14.323211,2
2026-03-06 21:22:15.323492,2
2026-03-06 21:22:16.323182,2
2026-03-06 21:22:17.323434,2
2026-03-06 21:22:18.333229,2
2026-03-06 21:22:19.341584,2
2026-03-06 21:22:20.341662,2
2026-03-06 21:22:21.341394,2
2026-03-06 21:22:22.341663,2
2026-03-06 21:22:23.341652,2
2026-03-06 21:22:24.351179,2
2026-03-06 21:22:25.359359,2
2026-03-06 21:22:26.359901,2
2026-03-06 21:22:27.35943,2
2026-03-06 21:22:28.359851,2
2026-03-06 21:22:29.359881,2
2026-03-06 21:22:30.369362,2
2026-03-06 21:22:31.37749,2
2026-03-06 21:22:32.377923,2
