time,PT_Cal.GN2_High.channel_id
2026-03-06 21:14:24.729221,14
2026-03-06 21:14:24.729259,14
2026-03-06 21:14:24.729344,14
2026-03-06 21:14:24.729431,14
2026-03-06 21:14:24.729509,14
2026-03-06 21:14:24.729616,14
2026-03-06 21:14:24.729667,14
2026-03-06 21:14:24.729746,14
2026-03-06 21:14:24.829234,14
2026-03-06 21:14:24.829298,14
2026-03-06 21:14:24.829374,14
2026-03-06 21:14:24.829453,14
2026-03-06 21:14:24.829574,14
2026-03-06 21:14:24.829696,14
2026-03-06 21:14:24.829837,14
2026-03-06 21:14:24.829958,14
2026-03-06 21:14:24.932903,14
2026-03-06 21:14:24.932929,14
2026-03-06 21:14:24.932946,14
2026-03-06 21:14:24.932988,14
2026-03-06 21:14:24.933024,14
2026-03-06 21:14:24.93306,14
2026-03-06 21:14:24.933091,14
2026-03-06 21:14:24.933136,14
2026-03-06 21:14:24.933468,14
2026-03-06 21:14:25.032767,14
2026-03-06 21:14:25.032799,14
2026-03-06 21:14:25.032813,14
2026-03-06 21:14:25.032842,14
2026-03-06 21:14:25.032866,14
2026-03-06 21:14:25.03291,14
2026-03-06 21:14:25.03295,14
2026-03-06 21:14:25.03298,14
2026-03-06 21:14:25.033014,14
2026-03-06 21:14:25.132571,14
2026-03-06 21:14:25.13261,14
2026-03-06 21:14:25.132685,14
2026-03-06 21:14:25.132839,14
2026-03-06 21:14:25.132875,14
2026-03-06 21:14:25.132917,14
2026-03-06 21:14:25.133001,14
2026-03-06 21:14:25.133067,14
2026-03-06 21:14:25.232447,14
2026-03-06 21:14:25.232473,14
2026-03-06 21:14:25.232493,14
2026-03-06 21:14:25.232511,14
2026-03-06 21:14:25.232523,14
2026-03-06 21:14:25.232547,14
2026-03-06 21:14:25.232615,14
2026-03-06 21:14:25.232633,14
2026-03-06 21:14:25.233225,14
2026-03-06 21:14:25.332875,14
