time,PT_Cal.GSE_Low.pressure_psi
2026-03-06 21:23:50.04371,125.29841
2026-03-06 21:23:50.043886,125.38466
2026-03-06 21:23:50.152352,125.70603
2026-03-06 21:23:50.152444,123.490074
2026-03-06 21:23:50.152548,125.260605
2026-03-06 21:23:50.152732,125.26179
2026-03-06 21:23:50.152928,0.4520182
2026-03-06 21:23:50.26131,125.45908
2026-03-06 21:23:50.261406,125.40947
2026-03-06 21:23:50.261552,125.240524
2026-03-06 21:23:50.261558,0.45159546
2026-03-06 21:23:50.261688,125.338974
2026-03-06 21:23:50.262165,125.604416
2026-03-06 21:23:50.262338,125.34803
2026-03-06 21:23:50.262526,125.29999
2026-03-06 21:23:50.370577,125.37363
2026-03-06 21:23:50.370666,125.6056
2026-03-06 21:23:50.370721,125.27439
2026-03-06 21:23:50.370776,125.396866
2026-03-06 21:23:50.370839,125.301956
2026-03-06 21:23:50.370907,125.37009
2026-03-06 21:23:50.370923,0.45144916
2026-03-06 21:23:50.370981,125.35236
2026-03-06 21:23:50.371055,124.97119
2026-03-06 21:23:50.371135,125.01372
2026-03-06 21:23:50.47953,125.26257
2026-03-06 21:23:50.479665,125.26612
2026-03-06 21:23:50.479697,125.30944
2026-03-06 21:23:50.47976,125.26337
2026-03-06 21:23:50.479822,125.32204
2026-03-06 21:23:50.479888,125.25155
2026-03-06 21:23:50.480008,124.92867
2026-03-06 21:23:50.480079,0.45125902
2026-03-06 21:23:50.588213,125.37009
2026-03-06 21:23:50.588296,125.28463
2026-03-06 21:23:50.588345,124.94009
2026-03-06 21:23:50.588418,124.82787
2026-03-06 21:23:50.588497,125.30747
2026-03-06 21:23:50.588568,124.79481
2026-03-06 21:23:50.588646,125.41341
2026-03-06 21:23:50.588713,125.35276
2026-03-06 21:23:50.588714,0.45144308
2026-03-06 21:23:50.697052,125.230286
2026-03-06 21:23:50.697125,125.32243
2026-03-06 21:23:50.697181,125.42483
2026-03-06 21:23:50.697257,125.31062
2026-03-06 21:23:50.697336,125.26337
2026-03-06 21:23:50.697406,0.45120373
2026-03-06 21:23:50.697596,125.3185
2026-03-06 21:23:50.806023,125.295265
2026-03-06 21:23:50.806178,125.75448
2026-03-06 21:23:50.806352,125.40119
2026-03-06 21:23:50.806467,0.451315
2026-03-06 21:23:50.806503,125.29487
2026-03-06 21:23:50.806722,125.30117
2026-03-06 21:23:50.806966,125.25785
2026-03-06 21:23:50.915014,125.42285
2026-03-06 21:23:50.915107,125.27281
2026-03-06 21:23:50.91513,125.35985
2026-03-06 21:23:50.915192,124.93615
2026-03-06 21:23:50.915229,0.45153344
2026-03-06 21:23:50.915288,125.353935
2026-03-06 21:23:51.024146,125.27479
2026-03-06 21:23:51.024224,125.315346
2026-03-06 21:23:51.024274,125.315346
2026-03-06 21:23:51.024346,125.255486
2026-03-06 21:23:51.024489,125.268875
2026-03-06 21:23:51.024495,0.4512799
2026-03-06 21:23:51.133119,125.25037
2026-03-06 21:23:51.133197,125.57527
2026-03-06 21:23:51.133231,125.29762
2026-03-06 21:23:51.133306,125.31889
2026-03-06 21:23:51.133377,125.36575
2026-03-06 21:23:51.13345,125.21768
2026-03-06 21:23:51.133478,0.45123813
2026-03-06 21:23:51.133524,125.34646
2026-03-06 21:23:51.242449,125.25431
2026-03-06 21:23:51.242528,125.380325
2026-03-06 21:23:51.24257,0.45124486
2026-03-06 21:23:51.242629,125.41616
2026-03-06 21:23:51.243335,125.180275
2026-03-06 21:23:51.243406,125.27281
2026-03-06 21:23:51.243526,125.28896
2026-03-06 21:23:51.243728,125.62844
2026-03-06 21:23:51.350972,125.62529
2026-03-06 21:23:51.351079,125.27833
2026-03-06 21:23:51.351115,125.35
2026-03-06 21:23:51.351208,124.9389
2026-03-06 21:23:51.351307,125.47996
2026-03-06 21:23:51.351487,0.45187998
2026-03-06 21:23:51.460176,123.201294
2026-03-06 21:23:51.460258,125.25352
2026-03-06 21:23:51.460412,0.44772804
2026-03-06 21:23:51.460553,125.453575
2026-03-06 21:23:51.460632,125.21926
2026-03-06 21:23:51.460709,125.36536
2026-03-06 21:23:51.46079,125.218864
2026-03-06 21:23:51.569426,125.30944
2026-03-06 21:23:51.569517,125.7785
2026-03-06 21:23:51.569548,125.25628
2026-03-06 21:23:51.569619,125.26179
2026-03-06 21:23:51.569709,125.33149
2026-03-06 21:23:51.569861,0.45133924
2026-03-06 21:23:51.569927,125.32204
2026-03-06 21:23:51.678207,125.23344
2026-03-06 21:23:51.678319,125.200356
2026-03-06 21:23:51.678366,125.35788
2026-03-06 21:23:51.678421,125.28069
2026-03-06 21:23:51.678456,0.45120913
2026-03-06 21:23:51.678469,125.29447
2026-03-06 21:23:51.787178,125.32165
2026-03-06 21:23:51.787265,125.312195
2026-03-06 21:23:51.787339,125.23501
2026-03-06 21:23:51.787405,125.2043
2026-03-06 21:23:51.787428,0.45136017
2026-03-06 21:23:51.787496,125.62647
