time,ACT.GSE_High_Press_Vent.sample_ts_ms
2026-03-06 21:34:35.185556,12096620
2026-03-06 21:34:35.2614,12096739
2026-03-06 21:34:35.287395,12096722
2026-03-06 21:34:35.36334,12096841
2026-03-06 21:34:35.389186,12096824
2026-03-06 21:34:35.465788,12096943
2026-03-06 21:34:35.491089,12096926
2026-03-06 21:34:35.567806,12097045
2026-03-06 21:34:35.593427,12097028
2026-03-06 21:34:35.669631,12097147
2026-03-06 21:34:35.695365,12097130
2026-03-06 21:34:35.771407,12097249
2026-03-06 21:34:35.79706,12097232
2026-03-06 21:34:35.873739,12097351
2026-03-06 21:34:35.898877,12097334
2026-03-06 21:34:35.97517,12097453
2026-03-06 21:34:36.001077,12097436
2026-03-06 21:34:36.077484,12097555
2026-03-06 21:34:36.102873,12097538
2026-03-06 21:34:36.179726,12097657
2026-03-06 21:34:36.205367,12097640
2026-03-06 21:34:36.281892,12097759
2026-03-06 21:34:36.307058,12097742
2026-03-06 21:34:36.383664,12097861
2026-03-06 21:34:36.408819,12097844
2026-03-06 21:34:36.485543,12097963
2026-03-06 21:34:36.510884,12097946
2026-03-06 21:34:36.587535,12098065
2026-03-06 21:34:36.613131,12098048
2026-03-06 21:34:36.689656,12098167
2026-03-06 21:34:36.714878,12098150
2026-03-06 21:34:36.791544,12098269
2026-03-06 21:34:36.816932,12098252
2026-03-06 21:34:36.893954,12098371
2026-03-06 21:34:36.919529,12098354
2026-03-06 21:34:36.995615,12098473
2026-03-06 21:34:37.021026,12098456
2026-03-06 21:34:37.097469,12098575
2026-03-06 21:34:37.123349,12098558
2026-03-06 21:34:37.199756,12098677
2026-03-06 21:34:37.224885,12098660
2026-03-06 21:34:37.301616,12098779
2026-03-06 21:34:37.327336,12098762
2026-03-06 21:34:37.403237,12098881
2026-03-06 21:34:37.429134,12098864
2026-03-06 21:34:37.50533,12098983
2026-03-06 21:34:37.53119,12098966
2026-03-06 21:34:37.607607,12099085
2026-03-06 21:34:37.633389,12099068
2026-03-06 21:34:37.709581,12099187
2026-03-06 21:34:37.735283,12099170
2026-03-06 21:34:37.81189,12099289
2026-03-06 21:34:37.837108,12099272
2026-03-06 21:34:37.91381,12099391
2026-03-06 21:34:37.939043,12099374
2026-03-06 21:34:38.015718,12099493
2026-03-06 21:34:38.041137,12099476
2026-03-06 21:34:38.117549,12099595
2026-03-06 21:34:38.143185,12099578
2026-03-06 21:34:38.219615,12099697
2026-03-06 21:34:38.245117,12099680
2026-03-06 21:34:38.321696,12099799
2026-03-06 21:34:38.347169,12099782
2026-03-06 21:34:38.423744,12099901
2026-03-06 21:34:38.449111,12099884
2026-03-06 21:34:38.525955,12100003
2026-03-06 21:34:38.551118,12099986
2026-03-06 21:34:38.627683,12100105
2026-03-06 21:34:38.654649,12100089
2026-03-06 21:34:38.7296,12100207
2026-03-06 21:34:38.756451,12100191
2026-03-06 21:34:38.832078,12100309
2026-03-06 21:34:38.858499,12100293
2026-03-06 21:34:38.933852,12100411
2026-03-06 21:34:38.960565,12100395
2026-03-06 21:34:39.035931,12100513
2026-03-06 21:34:39.06243,12100497
2026-03-06 21:34:39.137584,12100615
2026-03-06 21:34:39.1641,12100599
2026-03-06 21:34:39.239658,12100717
2026-03-06 21:34:39.266198,12100701
2026-03-06 21:34:39.341335,12100819
2026-03-06 21:34:39.368435,12100803
2026-03-06 21:34:39.443449,12100921
2026-03-06 21:34:39.470259,12100905
2026-03-06 21:34:39.545789,12101023
2026-03-06 21:34:39.572457,12101007
2026-03-06 21:34:39.647505,12101125
2026-03-06 21:34:39.674111,12101109
2026-03-06 21:34:39.749726,12101227
2026-03-06 21:34:39.776363,12101211
2026-03-06 21:34:39.8517,12101329
2026-03-06 21:34:39.87809,12101313
2026-03-06 21:34:39.953759,12101431
2026-03-06 21:34:39.980503,12101415
2026-03-06 21:34:40.055805,12101533
2026-03-06 21:34:40.082351,12101517
2026-03-06 21:34:40.157558,12101635
2026-03-06 21:34:40.184298,12101619
2026-03-06 21:34:40.259695,12101737
2026-03-06 21:34:40.286116,12101721
2026-03-06 21:34:40.361469,12101839
2026-03-06 21:34:40.388383,12101823
2026-03-06 21:34:40.463609,12101941
2026-03-06 21:34:40.490451,12101925
2026-03-06 21:34:40.565878,12102043
2026-03-06 21:34:40.59211,12102027
2026-03-06 21:34:40.667519,12102145
2026-03-06 21:34:40.694122,12102129
2026-03-06 21:34:40.769619,12102247
2026-03-06 21:34:40.795964,12102231
2026-03-06 21:34:40.871912,12102349
2026-03-06 21:34:40.898124,12102333
2026-03-06 21:34:40.973393,12102451
2026-03-06 21:34:41.000104,12102435
2026-03-06 21:34:41.075387,12102553
2026-03-06 21:34:41.102268,12102537
2026-03-06 21:34:41.177828,12102655
2026-03-06 21:34:41.20456,12102639
2026-03-06 21:34:41.279425,12102757
2026-03-06 21:34:41.30613,12102741
2026-03-06 21:34:41.381346,12102859
2026-03-06 21:34:41.408287,12102843
2026-03-06 21:34:41.483813,12102961
2026-03-06 21:34:41.510127,12102945
2026-03-06 21:34:41.585948,12103063
2026-03-06 21:34:41.612174,12103047
2026-03-06 21:34:41.6879,12103165
2026-03-06 21:34:41.714092,12103149
2026-03-06 21:34:41.78974,12103267
2026-03-06 21:34:41.816469,12103251
2026-03-06 21:34:41.891547,12103369
2026-03-06 21:34:41.918339,12103353
2026-03-06 21:34:41.993413,12103471
2026-03-06 21:34:42.020448,12103455
2026-03-06 21:34:42.095371,12103573
2026-03-06 21:34:42.122492,12103557
2026-03-06 21:34:42.19778,12103675
2026-03-06 21:34:42.225131,12103659
2026-03-06 21:34:42.299602,12103777
2026-03-06 21:34:42.3265,12103761
2026-03-06 21:34:42.401847,12103879
2026-03-06 21:34:42.427934,12103863
2026-03-06 21:34:42.503471,12103981
2026-03-06 21:34:42.530404,12103965
2026-03-06 21:34:42.6055,12104083
2026-03-06 21:34:42.632044,12104067
2026-03-06 21:34:42.707814,12104185
2026-03-06 21:34:42.733972,12104169
2026-03-06 21:34:42.809525,12104287
2026-03-06 21:34:42.836169,12104271
2026-03-06 21:34:42.911448,12104389
2026-03-06 21:34:42.938312,12104373
2026-03-06 21:34:43.01367,12104491
2026-03-06 21:34:43.040166,12104475
2026-03-06 21:34:43.115791,12104593
2026-03-06 21:34:43.142217,12104577
2026-03-06 21:34:43.217398,12104695
2026-03-06 21:34:43.244289,12104679
2026-03-06 21:34:43.319773,12104797
2026-03-06 21:34:43.346047,12104781
2026-03-06 21:34:43.421418,12104899
2026-03-06 21:34:43.448077,12104883
2026-03-06 21:34:43.523303,12105001
2026-03-06 21:34:43.550218,12104985
2026-03-06 21:34:43.625406,12105103
2026-03-06 21:34:43.65216,12105087
2026-03-06 21:34:43.72778,12105205
2026-03-06 21:34:43.754511,12105189
2026-03-06 21:34:43.829982,12105307
2026-03-06 21:34:43.856251,12105291
2026-03-06 21:34:43.931485,12105409
2026-03-06 21:34:43.958481,12105393
2026-03-06 21:34:44.033941,12105511
2026-03-06 21:34:44.060216,12105495
2026-03-06 21:34:44.135999,12105613
2026-03-06 21:34:44.162075,12105597
2026-03-06 21:34:44.237701,12105715
2026-03-06 21:34:44.264389,12105699
2026-03-06 21:34:44.339364,12105817
2026-03-06 21:34:44.366044,12105801
2026-03-06 21:34:44.441751,12105919
2026-03-06 21:34:44.468794,12105903
2026-03-06 21:34:44.544016,12106021
2026-03-06 21:34:44.57034,12106005
2026-03-06 21:34:44.645555,12106123
2026-03-06 21:34:44.672332,12106107
2026-03-06 21:34:44.747651,12106225
2026-03-06 21:34:44.774072,12106209
