time,ACT.GSE_High_Press_Control.actuator_state
2026-03-06 21:29:19.697445,0
2026-03-06 21:29:19.711161,0
2026-03-06 21:29:19.799127,0
2026-03-06 21:29:19.813426,0
2026-03-06 21:29:19.901211,0
2026-03-06 21:29:19.915546,0
2026-03-06 21:29:20.003171,0
2026-03-06 21:29:20.017148,0
2026-03-06 21:29:20.105448,0
2026-03-06 21:29:20.11891,0
2026-03-06 21:29:20.207635,0
2026-03-06 21:29:20.221151,0
2026-03-06 21:29:20.309624,0
2026-03-06 21:29:20.323132,0
2026-03-06 21:29:20.411428,0
2026-03-06 21:29:20.42595,0
2026-03-06 21:29:20.51368,0
2026-03-06 21:29:20.527183,0
2026-03-06 21:29:20.615318,0
2026-03-06 21:29:20.629463,0
2026-03-06 21:29:20.717453,0
2026-03-06 21:29:20.731526,0
2026-03-06 21:29:20.819629,0
2026-03-06 21:29:20.833296,0
2026-03-06 21:29:20.921596,0
2026-03-06 21:29:20.935067,0
2026-03-06 21:29:21.02355,0
2026-03-06 21:29:21.037395,0
2026-03-06 21:29:21.125361,0
2026-03-06 21:29:21.139502,0
2026-03-06 21:29:21.227525,0
2026-03-06 21:29:21.241219,0
2026-03-06 21:29:21.329567,0
2026-03-06 21:29:21.343049,0
2026-03-06 21:29:21.431505,0
2026-03-06 21:29:21.445202,0
2026-03-06 21:29:21.533191,0
2026-03-06 21:29:21.54725,0
2026-03-06 21:29:21.635505,0
2026-03-06 21:29:21.649273,0
2026-03-06 21:29:21.737414,0
2026-03-06 21:29:21.75169,0
2026-03-06 21:29:21.839425,0
2026-03-06 21:29:21.853336,0
2026-03-06 21:29:21.941373,0
2026-03-06 21:29:21.955226,0
2026-03-06 21:29:22.043672,0
2026-03-06 21:29:22.05757,0
2026-03-06 21:29:22.145322,0
2026-03-06 21:29:22.159533,0
2026-03-06 21:29:22.247316,0
2026-03-06 21:29:22.261071,0
2026-03-06 21:29:22.349209,0
2026-03-06 21:29:22.363481,0
2026-03-06 21:29:22.451665,0
2026-03-06 21:29:22.465161,0
2026-03-06 21:29:22.55343,0
2026-03-06 21:29:22.567446,0
2026-03-06 21:29:22.655752,0
2026-03-06 21:29:22.669228,0
2026-03-06 21:29:22.757243,0
2026-03-06 21:29:22.771532,0
2026-03-06 21:29:22.859411,0
2026-03-06 21:29:22.872545,0
2026-03-06 21:29:22.961638,0
2026-03-06 21:29:22.973979,0
2026-03-06 21:29:23.063457,0
2026-03-06 21:29:23.076138,0
2026-03-06 21:29:23.165623,0
2026-03-06 21:29:23.178309,0
2026-03-06 21:29:23.26755,0
2026-03-06 21:29:23.279871,0
2026-03-06 21:29:23.369254,0
2026-03-06 21:29:23.382424,0
2026-03-06 21:29:23.471523,0
2026-03-06 21:29:23.484359,0
2026-03-06 21:29:23.573478,0
2026-03-06 21:29:23.586331,0
2026-03-06 21:29:23.675287,0
2026-03-06 21:29:23.688399,0
2026-03-06 21:29:23.777554,0
2026-03-06 21:29:23.790414,0
2026-03-06 21:29:23.879607,0
2026-03-06 21:29:23.89246,0
2026-03-06 21:29:23.981293,0
2026-03-06 21:29:23.994082,0
2026-03-06 21:29:24.083451,0
2026-03-06 21:29:24.096276,0
2026-03-06 21:29:24.185457,0
2026-03-06 21:29:24.197948,0
2026-03-06 21:29:24.287884,0
2026-03-06 21:29:24.299857,0
2026-03-06 21:29:24.389266,0
2026-03-06 21:29:24.402142,0
2026-03-06 21:29:24.491589,0
2026-03-06 21:29:24.504151,0
2026-03-06 21:29:24.593361,0
2026-03-06 21:29:24.606366,0
2026-03-06 21:29:24.695671,0
2026-03-06 21:29:24.707973,0
2026-03-06 21:29:24.797384,0
2026-03-06 21:29:24.810327,0
2026-03-06 21:29:24.899022,0
2026-03-06 21:29:24.912151,0
2026-03-06 21:29:25.001669,0
2026-03-06 21:29:25.014053,0
2026-03-06 21:29:25.103744,0
2026-03-06 21:29:25.11637,0
2026-03-06 21:29:25.205514,0
