time,PT_Cal.Fuel_Downstream.channel_id
2026-03-06 21:18:50.617506,3
2026-03-06 21:18:50.617764,3
2026-03-06 21:18:50.725959,3
2026-03-06 21:18:50.726225,3
2026-03-06 21:18:50.726485,3
2026-03-06 21:18:50.726736,3
2026-03-06 21:18:50.726749,3
2026-03-06 21:18:50.834858,3
2026-03-06 21:18:50.835002,3
2026-03-06 21:18:50.8351,3
2026-03-06 21:18:50.835223,3
2026-03-06 21:18:50.835265,3
2026-03-06 21:18:50.835342,3
2026-03-06 21:18:50.943502,3
2026-03-06 21:18:50.943666,3
2026-03-06 21:18:50.943891,3
2026-03-06 21:18:50.943927,3
2026-03-06 21:18:50.944042,3
2026-03-06 21:18:51.05286,3
2026-03-06 21:18:51.053109,3
2026-03-06 21:18:51.053345,3
2026-03-06 21:18:51.053592,3
2026-03-06 21:18:51.053802,3
2026-03-06 21:18:51.053839,3
2026-03-06 21:18:51.161729,3
2026-03-06 21:18:51.161883,3
2026-03-06 21:18:51.16195,3
2026-03-06 21:18:51.162099,3
2026-03-06 21:18:51.162217,3
2026-03-06 21:18:51.162312,3
2026-03-06 21:18:51.162348,3
2026-03-06 21:18:51.271418,3
2026-03-06 21:18:51.271724,3
2026-03-06 21:18:51.271885,3
2026-03-06 21:18:51.272217,3
2026-03-06 21:18:51.380416,3
2026-03-06 21:18:51.380667,3
2026-03-06 21:18:51.38093,3
2026-03-06 21:18:51.381024,3
2026-03-06 21:18:51.381226,3
2026-03-06 21:18:51.38155,3
2026-03-06 21:18:51.489023,3
2026-03-06 21:18:51.48923,3
2026-03-06 21:18:51.4894,3
2026-03-06 21:18:51.489503,3
2026-03-06 21:18:51.48962,3
2026-03-06 21:18:51.489899,3
2026-03-06 21:18:51.598247,3
2026-03-06 21:18:51.598517,3
2026-03-06 21:18:51.598756,3
2026-03-06 21:18:51.598902,3
2026-03-06 21:18:51.599029,3
2026-03-06 21:18:51.599289,3
2026-03-06 21:18:51.706557,3
2026-03-06 21:18:51.706645,3
2026-03-06 21:18:51.706834,3
2026-03-06 21:18:51.707008,3
2026-03-06 21:18:51.707186,3
2026-03-06 21:18:51.816047,3
2026-03-06 21:18:51.816299,3
2026-03-06 21:18:51.816458,3
2026-03-06 21:18:51.816627,3
2026-03-06 21:18:51.817277,3
2026-03-06 21:18:51.924923,3
