time,PT_Cal.GSE_Low.cal_status
2026-03-06 21:37:21.9984,1
2026-03-06 21:37:21.998662,0
2026-03-06 21:37:22.000269,1
2026-03-06 21:37:22.000792,1
2026-03-06 21:37:22.003887,1
2026-03-06 21:37:22.003991,1
2026-03-06 21:37:22.110512,1
2026-03-06 21:37:22.110804,1
2026-03-06 21:37:22.111032,1
2026-03-06 21:37:22.113182,0
2026-03-06 21:37:22.114296,1
2026-03-06 21:37:22.114401,1
2026-03-06 21:37:22.216629,1
2026-03-06 21:37:22.217462,0
2026-03-06 21:37:22.218177,1
2026-03-06 21:37:22.218575,1
2026-03-06 21:37:22.222575,1
2026-03-06 21:37:22.222843,1
2026-03-06 21:37:22.327438,1
2026-03-06 21:37:22.327895,1
2026-03-06 21:37:22.328323,1
2026-03-06 21:37:22.328715,1
2026-03-06 21:37:22.328935,0
2026-03-06 21:37:22.330339,1
2026-03-06 21:37:22.437671,1
2026-03-06 21:37:22.4378,1
2026-03-06 21:37:22.43788,1
2026-03-06 21:37:22.437998,1
2026-03-06 21:37:22.438064,1
2026-03-06 21:37:22.439545,0
2026-03-06 21:37:22.545665,1
2026-03-06 21:37:22.547225,0
2026-03-06 21:37:22.651974,1
2026-03-06 21:37:22.653153,0
2026-03-06 21:37:22.761299,1
2026-03-06 21:37:22.762546,0
2026-03-06 21:37:22.870759,1
2026-03-06 21:37:22.875693,0
2026-03-06 21:37:22.978365,1
2026-03-06 21:37:22.978596,1
2026-03-06 21:37:22.978651,1
2026-03-06 21:37:22.981406,0
2026-03-06 21:37:23.090032,1
2026-03-06 21:37:23.09026,1
2026-03-06 21:37:23.090463,1
2026-03-06 21:37:23.090676,0
2026-03-06 21:37:23.090719,1
2026-03-06 21:37:23.197063,1
2026-03-06 21:37:23.197336,1
2026-03-06 21:37:23.197566,1
2026-03-06 21:37:23.197646,0
2026-03-06 21:37:23.199278,1
2026-03-06 21:37:23.199361,1
2026-03-06 21:37:23.305552,1
2026-03-06 21:37:23.305796,1
2026-03-06 21:37:23.30586,1
2026-03-06 21:37:23.306054,1
2026-03-06 21:37:23.30719,0
2026-03-06 21:37:23.414732,1
2026-03-06 21:37:23.414908,1
2026-03-06 21:37:23.415311,0
2026-03-06 21:37:23.418282,1
2026-03-06 21:37:23.418376,1
2026-03-06 21:37:23.525675,1
2026-03-06 21:37:23.526942,0
2026-03-06 21:37:23.632393,1
2026-03-06 21:37:23.633037,0
2026-03-06 21:37:23.635131,1
2026-03-06 21:37:23.635231,1
2026-03-06 21:37:23.635302,1
2026-03-06 21:37:23.744205,1
