time,PT_Cal.GSE_High.raw_adc
2026-03-06 21:18:04.698835,570856578
2026-03-06 21:18:04.698931,570797252
2026-03-06 21:18:04.798251,570628038
2026-03-06 21:18:04.798473,570665792
2026-03-06 21:18:04.798645,570476353
2026-03-06 21:18:04.798859,570729836
2026-03-06 21:18:04.79889,570665792
2026-03-06 21:18:04.799033,570633432
2026-03-06 21:18:04.799085,570756802
2026-03-06 21:18:04.7993,570780398
2026-03-06 21:18:04.7995,570755454
2026-03-06 21:18:04.799552,570756802
2026-03-06 21:18:04.898708,570644893
2026-03-06 21:18:04.898793,570623993
2026-03-06 21:18:04.898857,570907139
2026-03-06 21:18:04.89892,570755454
2026-03-06 21:18:04.898986,570751410
2026-03-06 21:18:04.899075,570739274
2026-03-06 21:18:04.899191,570750061
2026-03-06 21:18:04.899266,570644893
2026-03-06 21:18:05.002267,570726466
2026-03-06 21:18:05.002349,570819498
2026-03-06 21:18:05.002383,570799949
2026-03-06 21:18:05.00243,570614556
2026-03-06 21:18:05.002496,570913882
2026-03-06 21:18:05.002598,570564668
2026-03-06 21:18:05.002658,570726466
2026-03-06 21:18:05.002692,570703545
2026-03-06 21:18:05.102221,570661073
2026-03-06 21:18:05.102297,570605792
2026-03-06 21:18:05.102327,570787814
2026-03-06 21:18:05.102566,570752083
2026-03-06 21:18:05.102666,570638151
2026-03-06 21:18:05.102717,570605792
2026-03-06 21:18:05.102743,570581521
2026-03-06 21:18:05.102823,570554556
2026-03-06 21:18:05.103307,570669837
2026-03-06 21:18:05.202198,570782421
2026-03-06 21:18:05.202286,570793207
2026-03-06 21:18:05.202333,570648937
2026-03-06 21:18:05.2024,570812757
2026-03-06 21:18:05.202429,570599049
2026-03-06 21:18:05.202449,570872083
2026-03-06 21:18:05.202458,570646241
2026-03-06 21:18:05.202479,570760847
2026-03-06 21:18:05.20273,570793207
2026-03-06 21:18:05.30234,570860622
2026-03-06 21:18:05.302416,570797252
2026-03-06 21:18:05.302437,570863994
2026-03-06 21:18:05.302487,570679949
2026-03-06 21:18:05.302554,570539050
2026-03-06 21:18:05.302609,570584893
2026-03-06 21:18:05.3027,570626690
2026-03-06 21:18:05.302878,570860622
2026-03-06 21:18:05.402679,570803319
2026-03-06 21:18:05.402813,570694106
2026-03-06 21:18:05.402855,570671184
2026-03-06 21:18:05.402949,570677253
2026-03-06 21:18:05.402979,570803319
2026-03-06 21:18:05.403031,570696128
2026-03-06 21:18:05.403241,570686690
2026-03-06 21:18:05.403333,570773657
2026-03-06 21:18:05.501897,570874780
2026-03-06 21:18:05.501956,570768938
2026-03-06 21:18:05.501985,570812083
2026-03-06 21:18:05.502044,570830286
2026-03-06 21:18:05.50207,570710286
2026-03-06 21:18:05.502095,570725791
2026-03-06 21:18:05.502126,570542421
2026-03-06 21:18:05.605099,570693433
2026-03-06 21:18:05.605301,570693433
2026-03-06 21:18:05.605421,570477701
2026-03-06 21:18:05.605664,571073655
2026-03-06 21:18:05.606058,570666465
2026-03-06 21:18:05.606389,570735230
2026-03-06 21:18:05.70238,570961071
2026-03-06 21:18:05.702449,570630735
2026-03-06 21:18:05.702467,570779049
2026-03-06 21:18:05.702507,570768938
2026-03-06 21:18:05.70256,570840398
2026-03-06 21:18:05.702667,570743994
2026-03-06 21:18:05.702742,570586241
2026-03-06 21:18:05.802603,570797252
2026-03-06 21:18:05.802703,570810734
2026-03-06 21:18:05.802754,570777701
2026-03-06 21:18:05.802827,570681970
2026-03-06 21:18:05.802903,570650286
2026-03-06 21:18:05.802996,570739274
2026-03-06 21:18:05.803312,570797252
2026-03-06 21:18:05.902196,570720397
2026-03-06 21:18:05.902345,570816129
2026-03-06 21:18:05.902403,570750061
2026-03-06 21:18:05.902519,570805342
2026-03-06 21:18:05.902607,570691409
2026-03-06 21:18:05.902723,570735230
2026-03-06 21:18:05.902793,570815454
2026-03-06 21:18:05.903319,570735230
2026-03-06 21:18:06.006116,570719725
2026-03-06 21:18:06.006195,570696128
2026-03-06 21:18:06.006253,570626690
2026-03-06 21:18:06.006307,570599724
2026-03-06 21:18:06.006365,570735230
2026-03-06 21:18:06.007641,570719725
2026-03-06 21:18:06.106569,570727141
2026-03-06 21:18:06.106672,570610510
2026-03-06 21:18:06.106707,570694106
2026-03-06 21:18:06.106774,570955005
2026-03-06 21:18:06.109207,570727141
2026-03-06 21:18:06.206889,570631409
2026-03-06 21:18:06.207061,570696802
2026-03-06 21:18:06.207151,570651634
2026-03-06 21:18:06.207279,570681297
2026-03-06 21:18:06.207367,570584893
2026-03-06 21:18:06.207454,570634781
2026-03-06 21:18:06.207566,570911185
2026-03-06 21:18:06.207646,570747365
2026-03-06 21:18:06.207729,570909162
2026-03-06 21:18:06.20961,570631409
2026-03-06 21:18:06.305999,570563320
2026-03-06 21:18:06.306074,570671184
2026-03-06 21:18:06.306112,570698825
2026-03-06 21:18:06.306348,570739949
2026-03-06 21:18:06.306437,570615904
2026-03-06 21:18:06.406272,570850511
2026-03-06 21:18:06.406387,570783769
2026-03-06 21:18:06.406587,570732533
2026-03-06 21:18:06.406987,570870735
2026-03-06 21:18:06.407186,570672533
2026-03-06 21:18:06.407267,570992083
2026-03-06 21:18:06.407334,570659725
2026-03-06 21:18:06.407402,570708938
2026-03-06 21:18:06.407505,570822870
2026-03-06 21:18:06.409192,570850511
2026-03-06 21:18:06.506852,570816803
2026-03-06 21:18:06.506912,570958375
2026-03-06 21:18:06.506957,570921297
2026-03-06 21:18:06.506995,570891634
2026-03-06 21:18:06.507043,570838375
2026-03-06 21:18:06.507093,570722421
2026-03-06 21:18:06.507121,570746016
2026-03-06 21:18:06.507165,570753432
2026-03-06 21:18:06.507224,570721746
2026-03-06 21:18:06.606986,570832309
2026-03-06 21:18:06.607126,570674556
2026-03-06 21:18:06.607204,570628038
2026-03-06 21:18:06.607245,570689386
2026-03-06 21:18:06.607323,570741971
2026-03-06 21:18:06.607426,570595680
2026-03-06 21:18:06.607518,570636803
2026-03-06 21:18:06.607526,570832309
2026-03-06 21:18:06.607675,570671184
2026-03-06 21:18:06.70738,570746016
2026-03-06 21:18:06.707517,570837701
2026-03-06 21:18:06.707645,570500623
2026-03-06 21:18:06.707759,570760174
2026-03-06 21:18:06.707844,570603769
2026-03-06 21:18:06.707932,570715005
2026-03-06 21:18:06.708577,570746016
2026-03-06 21:18:06.807268,570779049
2026-03-06 21:18:06.807365,570785118
2026-03-06 21:18:06.807408,570677253
2026-03-06 21:18:06.807446,570748713
2026-03-06 21:18:06.807518,570961071
2026-03-06 21:18:06.807666,570694106
2026-03-06 21:18:06.807792,570920622
2026-03-06 21:18:06.808584,570961071
2026-03-06 21:18:06.908717,570641522
2026-03-06 21:18:06.90896,570552533
2026-03-06 21:18:06.909257,570820847
2026-03-06 21:18:06.9097,570788488
2026-03-06 21:18:06.910222,570641522
2026-03-06 21:18:07.011219,570822870
2026-03-06 21:18:07.01122,570822870
2026-03-06 21:18:07.011314,570808038
2026-03-06 21:18:07.011341,570727141
2026-03-06 21:18:07.011381,570934779
2026-03-06 21:18:07.01142,570728488
2026-03-06 21:18:07.011667,570709612
2026-03-06 21:18:07.011716,570772309
2026-03-06 21:18:07.111635,570814106
2026-03-06 21:18:07.111652,570814106
