time,PT_Cal.Ox_Downstream.pressure_psi
2026-03-06 21:17:12.081048,0.0
2026-03-06 21:17:12.081415,0.0
2026-03-06 21:17:12.082138,0.0
2026-03-06 21:17:12.082811,0.0
2026-03-06 21:17:12.083438,0.0
2026-03-06 21:17:12.084049,0.0
2026-03-06 21:17:12.084829,0.0
2026-03-06 21:17:12.085648,0.0
2026-03-06 21:17:12.087116,0.1981923
2026-03-06 21:17:12.189598,0.0
2026-03-06 21:17:12.1899,0.0
2026-03-06 21:17:12.190556,0.19807565
2026-03-06 21:17:12.297808,0.0
2026-03-06 21:17:12.297889,0.0
2026-03-06 21:17:12.298034,0.0
2026-03-06 21:17:12.298295,0.0
2026-03-06 21:17:12.298541,0.0
2026-03-06 21:17:12.298834,0.19816533
2026-03-06 21:17:12.406629,0.0
2026-03-06 21:17:12.406796,0.0
2026-03-06 21:17:12.406946,0.0
2026-03-06 21:17:12.407111,0.0
2026-03-06 21:17:12.407211,0.19825432
2026-03-06 21:17:12.407301,0.0
2026-03-06 21:17:12.407474,0.0
2026-03-06 21:17:12.515682,0.0
2026-03-06 21:17:12.516189,0.0
2026-03-06 21:17:12.516391,0.0
2026-03-06 21:17:12.51661,0.19808508
2026-03-06 21:17:12.516632,0.0
2026-03-06 21:17:12.51686,0.0
2026-03-06 21:17:12.517006,0.0
2026-03-06 21:17:12.517175,0.0
2026-03-06 21:17:12.624135,0.0
2026-03-06 21:17:12.624305,0.0
2026-03-06 21:17:12.624514,0.0
2026-03-06 21:17:12.62479,0.19821724
2026-03-06 21:17:12.734288,0.0
2026-03-06 21:17:12.734589,0.0
2026-03-06 21:17:12.734917,0.0
2026-03-06 21:17:12.735718,0.1976556
2026-03-06 21:17:12.842867,0.0
2026-03-06 21:17:12.843197,0.0
2026-03-06 21:17:12.843562,0.0
2026-03-06 21:17:12.844195,0.0
2026-03-06 21:17:12.84439,0.19757941
2026-03-06 21:17:12.84462,0.0
2026-03-06 21:17:12.951507,0.0
2026-03-06 21:17:12.951752,0.0
2026-03-06 21:17:12.952024,0.0
2026-03-06 21:17:12.952054,0.1980743
2026-03-06 21:17:12.95251,0.0
2026-03-06 21:17:13.060873,0.0
2026-03-06 21:17:13.061189,0.0
2026-03-06 21:17:13.061499,0.0
2026-03-06 21:17:13.061877,0.0
2026-03-06 21:17:13.062133,0.19810396
2026-03-06 21:17:13.170082,0.0
2026-03-06 21:17:13.170256,0.0
2026-03-06 21:17:13.170407,0.0
2026-03-06 21:17:13.170463,0.19879709
2026-03-06 21:17:13.170574,0.0
2026-03-06 21:17:13.17074,0.0
2026-03-06 21:17:13.279045,0.0
2026-03-06 21:17:13.279268,0.0
2026-03-06 21:17:13.279498,0.0
2026-03-06 21:17:13.279714,0.0
2026-03-06 21:17:13.280007,0.0
2026-03-06 21:17:13.280136,0.0
2026-03-06 21:17:13.280244,0.0
2026-03-06 21:17:13.280528,0.19823207
2026-03-06 21:17:13.387461,0.0
2026-03-06 21:17:13.387511,0.0
2026-03-06 21:17:13.387674,0.0
2026-03-06 21:17:13.387957,0.0
2026-03-06 21:17:13.388048,0.19802643
2026-03-06 21:17:13.388112,0.0
2026-03-06 21:17:13.497399,0.0
2026-03-06 21:17:13.497706,0.0
2026-03-06 21:17:13.498048,0.0
2026-03-06 21:17:13.498418,0.0
2026-03-06 21:17:13.498495,0.19796237
2026-03-06 21:17:13.498847,0.0
2026-03-06 21:17:13.49948,0.0
2026-03-06 21:17:13.605843,0.0
2026-03-06 21:17:13.606058,0.0
2026-03-06 21:17:13.606315,0.0
2026-03-06 21:17:13.606511,0.19817275
2026-03-06 21:17:13.60657,0.0
2026-03-06 21:17:13.606932,0.0
2026-03-06 21:17:13.714919,0.0
2026-03-06 21:17:13.715307,0.0
2026-03-06 21:17:13.715572,0.0
2026-03-06 21:17:13.715772,0.0
2026-03-06 21:17:13.716748,0.19762997
2026-03-06 21:17:13.823647,0.0
2026-03-06 21:17:13.823865,0.0
2026-03-06 21:17:13.824094,0.0
2026-03-06 21:17:13.824404,0.0
2026-03-06 21:17:13.824682,0.0
2026-03-06 21:17:13.825979,0.19802643
2026-03-06 21:17:13.932739,0.0
2026-03-06 21:17:13.932964,0.0
2026-03-06 21:17:13.93327,0.0
2026-03-06 21:17:13.933468,0.19756187
2026-03-06 21:17:13.933535,0.0
2026-03-06 21:17:14.041623,0.0
2026-03-06 21:17:14.041706,0.0
2026-03-06 21:17:14.041796,0.0
2026-03-06 21:17:14.041904,0.0
2026-03-06 21:17:14.041957,0.19142766
2026-03-06 21:17:14.042006,0.0
2026-03-06 21:17:14.042101,0.0
2026-03-06 21:17:14.042216,0.0
2026-03-06 21:17:14.150572,0.0
2026-03-06 21:17:14.150897,0.0
2026-03-06 21:17:14.151098,0.1979354
2026-03-06 21:17:14.151215,0.0
2026-03-06 21:17:14.151479,0.0
2026-03-06 21:17:14.151792,0.0
2026-03-06 21:17:14.259731,0.0
2026-03-06 21:17:14.259927,0.0
2026-03-06 21:17:14.260155,0.0
2026-03-06 21:17:14.260448,0.0
2026-03-06 21:17:14.26065,0.19813633
2026-03-06 21:17:14.368636,0.0
2026-03-06 21:17:14.368899,0.0
2026-03-06 21:17:14.369164,0.0
2026-03-06 21:17:14.369406,0.0
2026-03-06 21:17:14.36951,0.19826443
2026-03-06 21:17:14.477485,0.0
2026-03-06 21:17:14.477675,0.0
2026-03-06 21:17:14.477883,0.0
2026-03-06 21:17:14.478069,0.19817004
2026-03-06 21:17:14.47809,0.0
2026-03-06 21:17:14.478321,0.0
2026-03-06 21:17:14.586497,0.0
2026-03-06 21:17:14.586543,0.0
2026-03-06 21:17:14.586571,0.0
2026-03-06 21:17:14.586603,0.0
2026-03-06 21:17:14.586759,0.0
2026-03-06 21:17:14.587352,0.19797586
2026-03-06 21:17:14.696205,0.0
2026-03-06 21:17:14.696468,0.0
2026-03-06 21:17:14.69673,0.0
2026-03-06 21:17:14.697239,0.0
2026-03-06 21:17:14.698135,0.19871281
2026-03-06 21:17:14.80462,0.0
